regime,ensemble,uncertainty_source,molecules,seeds,spearman,ci_low,ci_high,excludes_zero
in_domain,MLP,ensemble_std,305,2,0.128479,0.018027,0.239085,True
in_domain,MLP,similarity_distance,305,2,-0.036130,-0.152347,0.079520,False
in_domain,GCN,ensemble_std,305,2,0.174117,0.059339,0.277004,True
in_domain,GCN,similarity_distance,305,2,0.109571,-0.003731,0.226396,False
in_domain,GIN,ensemble_std,305,2,0.097064,-0.022393,0.212860,False
in_domain,GIN,similarity_distance,305,2,0.085429,-0.033302,0.205192,False
in_domain,GCN+GIN,ensemble_std,305,2,0.150275,0.033167,0.257663,True
in_domain,GCN+GIN,similarity_distance,305,2,0.094388,-0.025328,0.211238,False
in_domain,GIN+MLP,ensemble_std,305,2,0.117808,0.012569,0.229966,True
in_domain,GIN+MLP,similarity_distance,305,2,0.001556,-0.107450,0.120693,False
out_of_scaffold,MLP,ensemble_std,262,3,0.181011,0.044244,0.304021,True
out_of_scaffold,MLP,similarity_distance,262,3,0.208430,0.087401,0.325601,True
out_of_scaffold,GCN,ensemble_std,262,3,0.044435,-0.077605,0.163955,False
out_of_scaffold,GCN,similarity_distance,262,3,0.160555,0.046007,0.271765,True
out_of_scaffold,GIN,ensemble_std,262,3,0.135620,0.017407,0.247279,True
out_of_scaffold,GIN,similarity_distance,262,3,0.180667,0.068622,0.291636,True
out_of_scaffold,GCN+GIN,ensemble_std,262,3,0.087203,-0.034941,0.202381,False
out_of_scaffold,GCN+GIN,similarity_distance,262,3,0.180863,0.067109,0.293519,True
out_of_scaffold,GIN+MLP,ensemble_std,262,3,0.071293,-0.053541,0.194621,False
out_of_scaffold,GIN+MLP,similarity_distance,262,3,0.180725,0.061738,0.294243,True
