regime,strategy,budget,seeds,mean_delta_rmse,ci_low,ci_high,excludes_zero,wins
in_domain,uncertainty,100,5,0.000000,0.000000,0.000000,False,0
in_domain,uncertainty,150,5,-0.009455,-0.162117,0.157162,False,3
in_domain,uncertainty,200,5,0.132003,0.002187,0.216558,True,1
in_domain,uncertainty,250,5,0.108813,-0.047744,0.250075,False,1
in_domain,uncertainty,300,5,0.077835,-0.025785,0.183818,False,2
in_domain,uncertainty,350,5,0.024729,-0.019283,0.065856,False,2
in_domain,uncertainty,400,5,0.034377,-0.022462,0.088458,False,1
in_domain,uncertainty,450,5,0.000048,-0.058431,0.058338,False,2
in_domain,uncertainty,500,5,-0.020639,-0.048223,0.004894,False,3
in_domain,diversity,100,5,0.000000,0.000000,0.000000,False,0
in_domain,diversity,150,5,-0.107306,-0.191593,-0.017864,True,4
in_domain,diversity,200,5,0.128480,0.055053,0.195477,True,1
in_domain,diversity,250,5,0.110624,0.050681,0.169184,True,0
in_domain,diversity,300,5,0.061297,-0.007614,0.125681,False,1
in_domain,diversity,350,5,0.107500,0.081147,0.132046,True,0
in_domain,diversity,400,5,0.107917,0.060314,0.153311,True,0
in_domain,diversity,450,5,0.012928,-0.056281,0.084048,False,1
in_domain,diversity,500,5,0.050259,-0.050437,0.163729,False,2
in_domain,uncertainty_diversity,100,5,0.000000,0.000000,0.000000,False,0
in_domain,uncertainty_diversity,150,5,0.046220,-0.069108,0.138221,False,1
in_domain,uncertainty_diversity,200,5,0.116651,0.014929,0.230363,True,1
in_domain,uncertainty_diversity,250,5,0.124941,0.010206,0.239676,True,1
in_domain,uncertainty_diversity,300,5,0.116084,0.015731,0.237920,True,1
in_domain,uncertainty_diversity,350,5,0.079820,0.037822,0.128526,True,0
in_domain,uncertainty_diversity,400,5,0.039156,-0.032000,0.112669,False,2
in_domain,uncertainty_diversity,450,5,0.056392,-0.021398,0.140147,False,1
in_domain,uncertainty_diversity,500,5,0.062042,-0.015975,0.140059,False,2
in_domain,oracle_error,100,5,0.000000,0.000000,0.000000,False,0
in_domain,oracle_error,150,5,-0.219055,-0.336724,-0.082132,True,4
in_domain,oracle_error,200,5,-0.003084,-0.153844,0.126546,False,2
in_domain,oracle_error,250,5,-0.076264,-0.154383,0.001855,False,4
in_domain,oracle_error,300,5,-0.055485,-0.099776,-0.013974,True,5
in_domain,oracle_error,350,5,-0.059678,-0.114221,-0.012914,True,4
in_domain,oracle_error,400,5,-0.032223,-0.065031,0.002622,False,3
in_domain,oracle_error,450,5,-0.061891,-0.095602,-0.034954,True,5
in_domain,oracle_error,500,5,-0.053142,-0.088417,-0.009551,True,4
out_of_scaffold,uncertainty,100,5,0.000000,0.000000,0.000000,False,0
out_of_scaffold,uncertainty,150,5,0.038501,-0.171106,0.243005,False,3
out_of_scaffold,uncertainty,200,5,0.108616,-0.106554,0.284477,False,2
out_of_scaffold,uncertainty,250,5,-0.055192,-0.208060,0.152587,False,4
out_of_scaffold,uncertainty,300,5,0.012161,-0.117630,0.152547,False,2
out_of_scaffold,uncertainty,350,5,-0.011795,-0.168509,0.128979,False,3
out_of_scaffold,uncertainty,400,5,0.023047,-0.045999,0.087938,False,2
out_of_scaffold,uncertainty,450,5,0.016476,-0.083887,0.136287,False,3
out_of_scaffold,uncertainty,500,5,0.016165,-0.059149,0.115585,False,3
out_of_scaffold,diversity,100,5,0.000000,0.000000,0.000000,False,0
out_of_scaffold,diversity,150,5,-0.139834,-0.329292,0.049624,False,3
out_of_scaffold,diversity,200,5,0.019540,-0.040512,0.097159,False,2
out_of_scaffold,diversity,250,5,-0.174776,-0.352599,0.003047,False,3
out_of_scaffold,diversity,300,5,-0.105781,-0.293132,0.135446,False,3
out_of_scaffold,diversity,350,5,-0.105233,-0.218027,0.007562,False,3
out_of_scaffold,diversity,400,5,-0.109422,-0.217842,-0.020249,True,5
out_of_scaffold,diversity,450,5,-0.048705,-0.219140,0.145909,False,3
out_of_scaffold,diversity,500,5,-0.078808,-0.197113,0.083731,False,4
out_of_scaffold,uncertainty_diversity,100,5,0.000000,0.000000,0.000000,False,0
out_of_scaffold,uncertainty_diversity,150,5,0.088293,-0.083599,0.235530,False,1
out_of_scaffold,uncertainty_diversity,200,5,0.016221,-0.045751,0.110657,False,3
out_of_scaffold,uncertainty_diversity,250,5,-0.100518,-0.226430,0.018698,False,4
out_of_scaffold,uncertainty_diversity,300,5,-0.137622,-0.255297,-0.004583,True,4
out_of_scaffold,uncertainty_diversity,350,5,-0.026889,-0.126723,0.120474,False,4
out_of_scaffold,uncertainty_diversity,400,5,-0.115135,-0.201723,-0.013477,True,4
out_of_scaffold,uncertainty_diversity,450,5,-0.063983,-0.161243,0.074140,False,4
out_of_scaffold,uncertainty_diversity,500,5,-0.066809,-0.206431,0.088814,False,4
out_of_scaffold,oracle_error,100,5,0.000000,0.000000,0.000000,False,0
out_of_scaffold,oracle_error,150,5,-0.088759,-0.349016,0.117776,False,3
out_of_scaffold,oracle_error,200,5,-0.043542,-0.163925,0.102724,False,3
out_of_scaffold,oracle_error,250,5,-0.154441,-0.355997,0.052934,False,4
out_of_scaffold,oracle_error,300,5,-0.032634,-0.107449,0.022517,False,2
out_of_scaffold,oracle_error,350,5,-0.130481,-0.168483,-0.087878,True,5
out_of_scaffold,oracle_error,400,5,-0.104407,-0.187886,-0.021063,True,4
out_of_scaffold,oracle_error,450,5,-0.090510,-0.206095,0.071252,False,4
out_of_scaffold,oracle_error,500,5,0.026757,-0.086995,0.194480,False,3
